cust_num,savg_acc,curr_acc,invt_acc,trans_dy,card_pay,mortg_ln,cdt_line,cust_age,cust_sex,cust_mar,cust_chd,cust_inc,cust_car
427,13.200600,0.000000,35.129900,0,"acct","yes","yes",50,"male","single",2,48882.600000,"no"
442,26.280700,0.000000,71.925300,0,"acct","yes","no",55,"female","single",0,95489.400000,"yes"
454,11.451100,0.000000,42.864200,0,"giro","yes","yes",69,"male","married",2,30901.300000,"no"
458,0.086201,0.000000,7.436670,0,"giro","yes","no",95,"male","married",2,92855.300000,"no"
463,0.000000,0.000000,3.622810,0,"giro","no","yes",37,"female","married",1,25541.800000,"no"
469,26.054600,0.000000,59.614500,0,"acct","no","yes",75,"female","single",1,50290.700000,"no"
518,11.193000,0.000000,75.596500,0,"acct","yes","yes",67,"male","single",1,36415.300000,"yes"
527,10.799800,0.000000,42.794100,0,"acct","no","yes",87,"male","single",1,22718.600000,"no"
543,16.854700,0.000000,134.435000,0,"cheq","no","yes",82,"male","single",2,2271.110000,"no"
549,0.000000,0.000000,4.742370,0,"cheq","yes","yes",81,"male","single",2,15669.300000,"yes"
558,6.225390,0.000000,16.034400,2,"acct","no","no",58,"male","married",1,99619.900000,"yes"
567,15.630000,4.080900,59.144300,0,"acct","no","no",80,"male","married",0,50290.700000,"no"
577,5.257410,0.000000,32.046700,0,"acct","no","yes",19,"male","married",0,58979.300000,"yes"
619,6.549510,0.000000,130.343000,0,"acct","no","yes",79,"female","married",0,28021.400000,"yes"
627,18.129300,0.000000,83.884000,0,"giro","yes","no",85,"male","single",1,75991.200000,"no"
628,0.000000,0.000000,2.015370,0,"acct","yes","no",70,"female","single",1,64815.500000,"no"
630,26.467900,0.000000,13.946100,0,"acct","no","yes",34,"female","married",2,24325.800000,"yes"
649,0.000000,0.000000,0.049147,0,"acct","no","yes",75,"female","married",1,59251.000000,"yes"
654,19.481400,6.178420,93.303500,1,"giro","no","no",82,"female","single",1,80066.300000,"no"
669,28.643500,0.000000,9.821930,0,"acct","yes","yes",59,"female","single",1,61205.600000,"no"
674,16.220100,0.000000,53.959900,0,"acct","yes","yes",43,"male","married",1,35827.500000,"yes"
684,0.000000,0.000000,1.835500,0,"acct","no","no",43,"female","married",0,85205.100000,"yes"
709,0.000000,0.000000,0.842592,0,"cheq","yes","no",22,"male","single",1,15434.300000,"yes"
710,28.803400,0.000000,142.430000,0,"acct","yes","no",73,"female","single",0,92405.900000,"no"
715,5.200370,0.000000,51.568200,0,"acct","yes","yes",90,"male","married",0,42248.700000,"no"
721,0.000000,0.000000,4.831510,1,"acct","yes","yes",59,"male","single",0,60111.800000,"no"
781,27.564500,0.000000,212.356000,0,"giro","no","yes",65,"male","single",1,11520.300000,"no"
798,16.473700,0.000000,35.803200,1,"acct","yes","yes",55,"male","married",2,50290.700000,"no"
804,22.086500,6.421610,7.526310,0,"acct","no","no",55,"female","single",0,91646.600000,"yes"
835,14.825700,7.795010,287.295000,0,"giro","no","yes",40,"male","married",0,55714.000000,"no"
849,25.653100,0.813493,81.737500,1,"cheq","yes","no",69,"female","married",0,49188.900000,"yes"
863,16.345200,0.000000,15.245500,0,"acct","yes","yes",58,"male","married",0,64789.800000,"no"
867,5.490320,0.000000,65.426200,1,"giro","no","yes",19,"female","married",1,99261.800000,"yes"
873,0.000000,0.000000,0.911027,0,"acct","no","yes",68,"male","married",2,17060.300000,"yes"
877,16.373800,0.049815,49.190100,0,"acct","no","yes",48,"male","single",1,98360.600000,"yes"
880,16.609100,0.000000,50.694300,0,"acct","no","yes",55,"male","married",1,41334.100000,"no"
891,28.192200,0.000000,93.634700,0,"cheq","yes","yes",19,"female","single",2,56438.900000,"no"
918,25.986900,0.000000,26.699200,0,"cheq","yes","yes",94,"male","single",0,44927.000000,"no"
920,20.585100,0.000000,50.330200,0,"acct","no","yes",86,"female","married",0,2530.760000,"yes"
931,4.832400,0.000000,56.651600,0,"acct","no","yes",28,"female","married",0,38450.200000,"yes"
944,11.407900,0.000000,128.122000,0,"acct","yes","no",93,"female","single",1,21395.200000,"yes"
947,29.231200,0.000000,450.624000,1,"cheq","yes","yes",78,"female","single",2,72800.900000,"no"
958,12.213700,0.000000,52.965600,0,"giro","yes","no",31,"male","single",1,37832.600000,"yes"
964,11.857100,0.000000,135.648000,0,"giro","no","yes",20,"male","married",1,59632.900000,"yes"
999,0.000000,0.000000,0.439002,0,"acct","no","yes",67,"male","married",1,32363.900000,"yes"
1016,0.000000,0.000000,0.695662,0,"cheq","yes","yes",56,"female","single",2,27362.600000,"yes"
1029,12.389700,0.000000,58.409000,1,"cheq","yes","yes",90,"male","single",2,83653.300000,"no"
1032,23.378100,0.000000,32.523000,0,"cheq","no","yes",77,"female","single",0,34160.500000,"no"
1044,14.601500,0.000000,41.661200,0,"acct","no","no",33,"male","married",0,28000.400000,"yes"
1048,14.794400,0.000000,36.677800,0,"acct","yes","no",68,"female","married",1,97318.600000,"yes"
1054,16.305900,0.000000,34.748300,0,"cheq","yes","yes",93,"male","married",2,40372.400000,"yes"
1062,6.128460,0.000000,31.454500,0,"cheq","yes","no",25,"female","married",2,295.941000,"no"
1065,0.000000,0.000000,0.609388,2,"acct","yes","no",53,"female","single",2,96704.700000,"no"
1080,4.823480,0.000000,34.757700,0,"giro","yes","yes",38,"male","married",0,66742.300000,"no"
1100,7.552060,0.000000,36.364600,0,"acct","no","no",55,"female","single",2,51744.200000,"no"
1103,5.013920,7.916130,24.416800,0,"giro","no","no",72,"male","single",0,22150.800000,"no"
1104,4.728300,0.000000,27.186000,0,"giro","no","yes",45,"male","married",2,39035.800000,"no"
1116,20.240900,0.000000,18.248700,0,"cheq","no","yes",48,"female","married",0,4581.110000,"no"
1118,28.793000,0.000000,107.569000,0,"giro","no","yes",49,"male","single",0,9414.820000,"no"
1122,9.388040,0.000000,38.968100,0,"acct","no","yes",65,"male","single",1,57626.900000,"yes"
1143,29.349800,0.000000,20.093900,0,"acct","yes","yes",57,"female","married",1,50290.700000,"no"
1152,13.766500,0.000000,47.986000,0,"acct","no","yes",58,"male","single",2,4123.460000,"no"
1158,4.268870,0.000000,57.619300,0,"cheq","no","yes",54,"female","married",0,37389.200000,"no"
1181,25.323700,0.000000,45.121600,0,"acct","no","no",61,"male","married",1,18307.400000,"no"
1188,0.774873,0.000000,5.715600,0,"giro","yes","yes",84,"female","married",2,5936.480000,"yes"
1196,0.000000,0.000000,0.460765,0,"cheq","yes","yes",77,"female","single",0,36434.300000,"yes"
1219,16.772300,0.000000,16.358300,0,"giro","no","no",84,"male","single",0,34148.600000,"yes"
1237,0.000000,0.000000,3.404580,0,"giro","yes","yes",49,"female","single",0,23660.300000,"no"
1259,14.156200,0.000000,84.914900,0,"cheq","no","no",32,"female","married",1,7027.140000,"no"
1273,0.722800,0.000000,28.702600,0,"giro","yes","yes",97,"male","single",0,75854.900000,"no"
1298,23.057000,0.000000,5.942850,0,"acct","no","no",18,"male","married",0,40728.700000,"no"
1300,9.614390,2.656030,160.666000,0,"acct","no","yes",72,"male","single",2,55050.500000,"yes"
1316,23.291700,2.866470,62.325500,0,"acct","no","yes",22,"male","married",1,95847.900000,"yes"
1325,1.184140,0.000000,33.623500,0,"acct","no","yes",80,"female","married",1,86618.800000,"no"
1337,29.890500,0.000000,37.416900,0,"acct","no","yes",81,"female","single",0,54486.500000,"no"
1343,17.261500,0.000000,75.583400,0,"giro","yes","yes",91,"male","single",2,61766.700000,"yes"
1352,20.768300,0.000000,38.153900,0,"giro","yes","yes",71,"male","single",1,37248.600000,"yes"
1366,11.305400,0.000000,71.500500,0,"cheq","no","no",75,"female","single",1,57952.600000,"no"
1376,17.915200,0.000000,6.012300,0,"acct","yes","yes",26,"male","single",2,19998.400000,"no"
1378,0.000000,0.000000,2.942110,0,"acct","no","no",31,"female","married",1,43787.000000,"no"
1385,22.726200,0.000000,10.913400,0,"cheq","no","yes",86,"female","married",2,36090.700000,"no"
1398,19.142800,2.354470,40.372000,0,"acct","yes","no",72,"female","married",1,38788.300000,"yes"
1404,12.857700,0.035519,156.512000,0,"acct","no","no",18,"female","married",0,13441.500000,"no"
1421,3.451890,4.182770,117.344000,0,"giro","no","yes",76,"female","married",0,35697.500000,"no"
1424,9.818910,0.000000,82.452800,0,"acct","no","no",60,"female","married",1,40792.300000,"yes"
1428,27.877700,0.000000,13.129100,0,"giro","yes","yes",46,"female","married",0,94576.200000,"yes"
1429,11.002900,0.000000,87.128600,0,"acct","no","yes",42,"male","married",0,69463.100000,"no"
1432,13.660900,0.000000,37.685100,0,"acct","yes","yes",90,"female","married",1,2796.070000,"no"
1437,26.191200,0.000000,18.197300,0,"acct","no","no",46,"male","married",1,44065.400000,"yes"
1440,16.159300,6.099100,13.831200,0,"acct","no","no",31,"female","married",1,99485.300000,"no"
1455,2.964260,3.301220,73.324900,0,"giro","no","no",41,"female","single",2,48271.800000,"no"
1463,20.747800,0.000000,24.522100,0,"acct","no","yes",20,"male","single",2,68140.500000,"no"
1483,14.470900,0.000000,7.096570,0,"giro","yes","yes",68,"female","married",0,62484.800000,"no"
1496,23.131500,0.000000,23.327700,0,"acct","no","yes",22,"female","married",1,25863.800000,"no"
1509,29.355600,0.000000,13.786200,0,"cheq","yes","no",40,"male","single",2,33373.900000,"no"
1532,0.000000,0.000000,3.596560,0,"giro","no","no",23,"male","single",0,22475.500000,"no"
1539,2.936940,0.000000,165.434000,0,"acct","yes","no",48,"male","married",1,3793.730000,"no"
1543,23.216700,0.000000,143.812000,0,"cheq","yes","no",22,"female","single",2,14905.000000,"yes"
1549,10.511700,0.000000,5.906880,0,"giro","yes","no",67,"female","single",1,9824.750000,"no"
1550,27.746500,8.248680,19.634800,0,"acct","yes","yes",53,"female","single",2,11503.800000,"yes"
1561,6.253160,0.000000,24.717400,0,"acct","yes","yes",27,"female","single",2,13094.800000,"no"
1604,18.965400,0.000000,40.775500,0,"giro","yes","yes",33,"male","married",2,80385.400000,"no"
1617,8.761300,0.000000,25.636000,0,"acct","no","no",20,"female","married",1,2976.910000,"no"
1626,16.616600,7.881520,16.056500,1,"cheq","yes","yes",47,"male","single",0,4961.500000,"yes"
1635,25.718400,0.000000,73.714700,0,"acct","no","yes",67,"male","single",1,80982.700000,"no"
1640,24.752500,1.484950,62.628300,0,"cheq","yes","no",45,"female","single",0,50290.700000,"yes"
1677,0.000000,0.000000,1.008220,0,"giro","yes","yes",18,"female","married",2,64726.800000,"no"
1682,17.082600,0.000000,163.975000,0,"cheq","yes","yes",77,"female","single",1,37331.200000,"no"
1695,17.875000,0.000000,76.318200,0,"acct","yes","yes",93,"male","single",0,93302.900000,"no"
1708,17.842100,9.490840,89.767100,0,"acct","no","yes",70,"female","single",0,58384.300000,"no"
1716,9.313150,0.000000,115.921000,1,"cheq","no","no",47,"female","married",0,79721.100000,"no"
1717,26.045900,0.000000,114.276000,0,"cheq","no","yes",97,"male","married",2,40844.400000,"no"
1731,10.270200,1.673730,29.639000,0,"acct","yes","yes",20,"male","married",0,69444.500000,"no"
1737,10.607600,0.125065,159.885000,0,"giro","no","no",40,"male","single",2,88943.900000,"no"
1784,0.000000,0.000000,1.346230,0,"acct","yes","no",75,"female","single",1,16326.700000,"no"
1803,0.439191,0.000000,122.379000,0,"giro","yes","yes",74,"male","single",1,94449.500000,"no"
1814,3.526720,0.000000,257.192000,0,"acct","no","yes",45,"female","married",2,67085.400000,"no"
1818,2.502270,0.000000,31.993200,0,"giro","yes","yes",67,"male","married",0,26369.200000,"no"
1820,18.850800,0.000000,31.788600,0,"giro","yes","no",73,"female","married",2,35976.500000,"yes"
1851,12.229800,0.000000,135.424000,0,"cheq","yes","yes",31,"male","married",0,51015.700000,"yes"
1871,0.000000,0.000000,2.766100,0,"acct","yes","yes",55,"female","married",1,26340.700000,"yes"
1905,25.971100,0.000000,10.946700,0,"acct","no","yes",35,"female","married",0,80659.100000,"no"
1943,17.215800,0.000000,31.558500,0,"cheq","no","no",55,"female","married",0,91708.400000,"no"
1972,8.462790,0.000000,22.651300,0,"acct","yes","yes",51,"female","single",2,2638.110000,"yes"
1988,20.085100,0.000000,59.198800,0,"cheq","no","no",21,"female","married",1,64557.800000,"yes"
1992,28.429200,0.000000,84.106300,0,"acct","yes","yes",48,"female","single",0,76142.000000,"no"
2033,0.000000,0.000000,4.143540,0,"giro","no","yes",52,"female","married",0,85073.700000,"no"
2059,15.162600,0.000000,16.997300,0,"acct","no","yes",41,"female","married",0,33520.900000,"no"
2064,25.628700,0.000000,9.447460,0,"giro","yes","yes",89,"female","married",0,62229.600000,"no"
2070,8.810300,0.000000,9.290230,0,"giro","no","no",31,"female","single",0,41856.200000,"no"
2080,3.941390,0.000000,7.532950,0,"giro","no","yes",37,"female","single",0,74018.400000,"yes"
2087,15.193600,0.000000,24.547100,0,"acct","no","no",30,"male","married",0,15819.600000,"no"
2094,0.250512,0.000000,32.187900,0,"acct","no","yes",39,"male","single",2,18569.200000,"no"
2096,2.203300,0.000000,9.886340,0,"acct","no","no",97,"male","single",0,27498.100000,"no"
2098,0.178787,0.000000,6.512630,0,"acct","yes","no",62,"female","married",0,37121.700000,"yes"
2106,22.435800,0.000000,41.710800,0,"acct","no","no",30,"male","single",2,23464.000000,"yes"
2114,26.996000,0.000000,13.011300,0,"acct","yes","yes",37,"male","married",2,91272.200000,"yes"
2151,26.571400,0.000000,25.265600,0,"acct","yes","yes",81,"female","married",0,71816.100000,"yes"
2165,26.695500,0.000000,9.464440,0,"acct","yes","no",96,"male","married",1,8663.420000,"no"
2170,0.000000,0.000000,1.445630,0,"acct","no","yes",56,"male","married",2,11607.600000,"no"
2174,5.334430,0.000000,103.308000,0,"acct","yes","no",54,"male","married",2,23537.600000,"yes"
2176,15.288900,0.000000,52.279800,1,"acct","no","yes",44,"male","married",1,91008.700000,"yes"
2196,19.980600,0.000000,10.465400,0,"acct","no","yes",51,"male","married",1,64880.000000,"no"
2200,21.721600,0.000000,14.364900,0,"acct","no","yes",71,"male","single",0,12860.500000,"no"
2211,19.885100,9.577470,19.208400,0,"cheq","no","yes",75,"female","married",2,25738.400000,"no"
2220,1.469040,0.000000,43.978500,0,"acct","no","yes",43,"female","single",1,86252.800000,"yes"
2226,20.242100,0.000000,25.125600,0,"acct","yes","no",19,"male","married",2,92981.200000,"yes"
2266,24.892100,0.000000,28.823100,0,"acct","no","yes",22,"male","single",1,27778.200000,"no"
2270,23.703800,0.000000,126.969000,0,"giro","yes","yes",83,"female","married",0,98056.300000,"no"
2278,11.568300,0.000000,70.894600,0,"acct","yes","yes",53,"male","single",1,76394.000000,"no"
2280,14.208700,0.000000,43.024700,0,"acct","yes","yes",38,"female","married",0,56518.400000,"yes"
2286,8.863080,0.000000,72.104900,0,"acct","no","yes",92,"male","single",2,8014.590000,"no"
2301,11.059000,0.000000,30.233100,0,"acct","no","yes",29,"male","married",1,69294.700000,"yes"
2305,0.000000,0.000000,3.453140,0,"cheq","no","no",49,"female","single",0,45818.700000,"no"
2312,0.000000,0.000000,4.111080,0,"acct","yes","yes",61,"male","single",0,5898.900000,"no"
2317,27.565800,0.000000,37.294900,0,"giro","no","yes",50,"male","married",2,14543.100000,"no"
2324,27.055100,1.982780,78.376100,1,"acct","yes","yes",57,"female","married",0,57255.400000,"no"
2337,16.922100,0.000000,93.299400,0,"acct","yes","no",83,"male","single",2,65330.200000,"yes"
2350,14.390400,0.000000,8.038110,0,"acct","no","yes",79,"female","single",2,15688.500000,"no"
2355,18.721500,0.000000,91.559600,0,"acct","no","yes",53,"female","single",1,68767.000000,"yes"
2356,0.000000,0.000000,4.759420,0,"acct","yes","yes",27,"female","married",0,50290.700000,"yes"
2379,19.062500,0.358172,15.982600,1,"giro","no","yes",40,"male","married",1,62789.900000,"no"
2387,12.059200,0.000000,27.387900,1,"giro","yes","no",41,"female","married",1,3920.430000,"yes"
2398,26.458700,0.000000,95.682000,0,"giro","yes","no",77,"male","married",1,31841.700000,"yes"
2412,0.000000,0.000000,0.542815,0,"cheq","yes","yes",66,"male","married",0,42898.200000,"yes"
2414,13.623600,0.000000,28.228300,0,"acct","yes","yes",54,"male","married",0,68438.300000,"no"
2418,1.716040,0.000000,116.140000,0,"giro","no","yes",34,"male","single",2,60095.200000,"yes"
2421,15.271400,0.000000,49.420800,0,"acct","yes","no",82,"female","married",1,11895.700000,"no"
2422,0.000000,0.000000,4.213750,0,"acct","yes","no",70,"female","married",1,6388.650000,"no"
2425,16.371700,0.000000,7.006880,0,"cheq","no","yes",97,"female","married",1,51261.900000,"yes"
2433,28.164200,0.000000,249.961000,0,"acct","yes","yes",86,"female","single",2,84453.100000,"no"
2434,21.493500,0.000000,32.744700,0,"acct","yes","no",73,"female","married",2,33607.000000,"no"
2444,29.538600,0.000000,98.260500,0,"acct","no","yes",50,"male","single",2,86905.400000,"yes"
2477,27.396800,0.000000,51.474500,0,"giro","yes","yes",69,"female","married",2,63670.800000,"yes"
2486,4.794710,0.000000,39.761900,1,"cheq","yes","yes",79,"female","single",0,77644.100000,"no"
2494,22.606800,0.000000,89.590600,1,"acct","yes","yes",78,"male","single",0,80693.100000,"no"
2495,0.637549,0.000000,52.224300,0,"acct","no","no",46,"female","married",0,50290.700000,"yes"
2496,3.974180,0.000000,169.071000,0,"acct","no","yes",40,"female","married",2,91051.000000,"yes"
2498,16.498200,6.432690,59.498000,0,"cheq","yes","yes",41,"female","married",0,89915.000000,"no"
2507,0.268394,0.000000,25.793300,0,"acct","yes","yes",70,"male","single",2,14799.800000,"no"
2508,6.191980,4.480210,7.831470,0,"cheq","yes","yes",70,"male","married",1,74381.500000,"no"
2514,16.251200,0.000000,66.621600,0,"acct","no","no",77,"male","married",2,29277.800000,"no"
2521,3.327520,0.000000,99.324300,0,"giro","no","yes",91,"female","married",0,99309.000000,"no"
2530,16.649600,0.000000,130.563000,0,"acct","no","no",56,"male","single",1,98533.300000,"no"
2564,8.871360,0.000000,81.172700,1,"giro","yes","yes",89,"male","married",2,64009.700000,"no"
2601,23.448900,0.000000,98.126300,3,"acct","no","no",18,"male","married",1,76137.800000,"no"
2615,27.335000,0.000000,75.277600,0,"cheq","no","yes",88,"male","married",2,71686.200000,"yes"
2617,22.069200,0.000000,140.862000,0,"cheq","no","yes",29,"female","single",1,73874.100000,"yes"
2624,19.020400,0.000000,52.260800,0,"acct","yes","yes",74,"male","single",1,18064.400000,"yes"
2633,2.397730,0.000000,15.518800,0,"acct","yes","no",61,"female","single",0,45667.100000,"yes"
2639,13.454000,0.000000,21.091900,0,"giro","yes","yes",77,"male","single",0,73850.000000,"no"
2656,13.249900,0.000000,79.936000,0,"acct","yes","yes",32,"male","single",1,54164.900000,"no"
2684,0.000000,0.000000,3.016270,0,"acct","yes","yes",33,"female","single",0,36486.400000,"no"
2705,8.377020,0.000000,16.443800,0,"acct","no","yes",58,"male","married",2,61334.800000,"yes"
2711,6.999290,1.151970,165.868000,0,"acct","yes","yes",85,"female","single",0,16175.600000,"no"
2737,24.871700,0.000000,29.221200,0,"acct","yes","yes",37,"male","single",0,83378.300000,"yes"
2749,2.870660,0.000000,262.916000,0,"acct","no","yes",39,"female","single",0,58623.800000,"no"
2762,0.082955,0.000000,8.415320,0,"giro","no","yes",38,"male","married",1,50535.800000,"yes"
2770,0.000000,0.000000,2.632030,0,"acct","no","yes",75,"female","married",2,55272.700000,"yes"
2789,0.578131,0.000000,203.516000,0,"acct","yes","yes",67,"female","married",2,88177.100000,"yes"
2804,18.759400,0.000000,15.293800,0,"acct","yes","no",73,"female","married",2,87182.700000,"yes"
2820,28.020800,2.614890,73.404100,0,"acct","no","no",75,"female","single",0,48755.100000,"no"
2833,0.000000,0.000000,1.375430,0,"acct","yes","yes",64,"male","married",1,56360.500000,"no"
2836,2.017250,0.000000,189.518000,0,"giro","yes","yes",87,"male","single",0,32683.900000,"yes"
2883,28.579500,0.000000,160.272000,0,"cheq","no","no",63,"male","married",0,97603.600000,"yes"
2890,6.050360,0.000000,35.731900,0,"giro","no","yes",74,"female","single",2,60744.400000,"no"
2899,10.456200,0.000000,17.077900,3,"giro","no","yes",63,"female","single",0,19854.200000,"yes"
2909,19.405000,0.552016,8.693360,0,"acct","yes","yes",35,"male","single",0,25938.500000,"yes"
2916,12.933000,0.000000,207.598000,0,"acct","yes","yes",46,"male","married",2,60459.600000,"no"
2931,29.499500,0.000000,13.243900,0,"acct","yes","yes",67,"female","married",2,98217.100000,"no"
2934,3.693890,0.000000,22.923700,0,"cheq","no","yes",96,"female","single",1,32005.600000,"yes"
2963,0.000000,0.000000,1.175370,0,"acct","no","no",79,"male","single",2,89566.200000,"no"
2986,0.000000,0.000000,1.311950,0,"giro","yes","yes",87,"female","married",0,7657.960000,"no"
2994,17.999700,0.000000,133.759000,0,"acct","yes","yes",20,"female","married",2,59758.400000,"no"
3002,19.010600,0.000000,65.854900,0,"giro","no","no",49,"female","single",0,64727.500000,"no"
3005,24.033900,0.000000,10.380100,0,"acct","yes","yes",34,"male","single",0,50290.700000,"no"
3007,23.661300,7.936480,61.004900,0,"giro","no","yes",49,"male","married",1,20478.600000,"no"
3011,4.215190,0.000000,8.326760,0,"acct","no","yes",20,"female","married",0,72626.400000,"yes"
3012,11.814300,0.635238,5.735870,0,"acct","yes","yes",97,"male","married",0,96223.400000,"yes"
3015,24.147500,3.109910,7.868990,0,"acct","yes","yes",30,"female","married",1,69341.700000,"no"
3020,8.121220,0.000000,33.230700,0,"acct","no","no",60,"male","married",2,67933.800000,"no"
3035,6.123240,0.000000,90.284900,0,"acct","yes","yes",50,"male","married",2,94902.600000,"no"
3039,29.968200,0.000000,105.663000,0,"cheq","yes","no",51,"female","married",1,78231.000000,"no"
3042,25.476200,0.000000,21.369300,0,"acct","no","yes",33,"female","married",2,28746.800000,"no"
3068,16.662300,1.924260,10.210200,0,"giro","yes","no",44,"female","single",2,36824.500000,"no"
3075,9.999930,0.000000,101.674000,0,"cheq","yes","no",50,"male","married",1,19301.300000,"yes"
3076,5.938270,0.000000,8.930410,0,"acct","no","yes",73,"male","single",0,1259.010000,"yes"
3109,12.863400,0.000000,18.732400,0,"acct","no","yes",45,"female","married",0,59008.400000,"yes"
3110,11.743600,0.000000,38.328300,0,"acct","no","yes",64,"female","married",0,6528.380000,"yes"
3131,21.987800,6.941840,12.874400,0,"acct","yes","yes",79,"male","married",0,26074.500000,"no"
3135,0.000000,0.000000,2.163760,1,"cheq","no","yes",60,"male","married",1,20552.600000,"no"
3141,15.195500,0.000000,295.308000,0,"acct","yes","yes",71,"male","married",1,98967.700000,"no"
3153,8.028920,0.000000,46.130900,0,"acct","no","yes",97,"female","married",0,2902.340000,"no"
3168,2.330030,5.307870,23.467600,0,"giro","no","no",79,"male","married",2,5265.350000,"no"
3179,13.214400,0.000000,43.017400,0,"acct","yes","yes",97,"female","single",0,84479.200000,"no"
3194,4.001740,0.000000,6.113480,0,"acct","yes","no",46,"male","single",0,90866.500000,"no"
3202,16.440100,0.000000,77.755200,0,"acct","no","no",74,"female","married",2,87844.800000,"no"
3204,14.143700,0.000000,30.329300,0,"giro","yes","yes",30,"female","married",0,20058.400000,"no"
3209,22.181700,0.000000,149.731000,0,"acct","yes","yes",41,"male","single",1,52231.500000,"no"
3217,0.000000,0.000000,3.001480,1,"acct","yes","yes",93,"female","married",2,96926.200000,"no"
3229,0.000000,0.000000,0.703029,0,"acct","yes","yes",38,"female","married",0,87920.500000,"no"
3234,14.283800,0.000000,113.548000,0,"acct","no","no",34,"female","married",2,94778.300000,"no"
3235,29.344600,0.000000,49.549100,0,"acct","yes","yes",57,"female","married",2,45488.300000,"no"
3241,15.974800,0.000000,51.842600,0,"cheq","yes","yes",76,"female","married",1,56545.800000,"yes"
3255,6.207630,0.000000,10.659100,0,"cheq","yes","yes",97,"female","single",1,62903.300000,"no"
