cust_num,savg_acc,curr_acc,invt_acc,trans_dy,card_pay,mortg_ln,cdt_line,cust_age,cust_sex,cust_mar,cust_chd,cust_inc,cust_car,cust_chn
242,0.000000,0.000000,3.206860,0,"giro","yes","yes",77,"male","single",2,20965.300000,"no","invol_chn"
244,24.655700,0.000000,38.238700,0,"acct","no","yes",69,"male","married",2,64113.600000,"yes","customer"
245,8.645950,0.000000,67.416800,0,"acct","no","no",40,"male","single",0,57482.700000,"yes","customer"
250,18.186700,0.000000,19.459500,0,"giro","yes","no",81,"female","married",1,77622.900000,"no","vol_churn"
252,24.960300,0.000000,82.895400,0,"acct","yes","no",71,"female","single",1,61302.000000,"no","customer"
253,5.193360,0.000000,30.000200,0,"acct","yes","yes",90,"female","married",1,41416.800000,"no","vol_churn"
255,18.810600,0.000000,86.989300,0,"giro","no","yes",42,"female","single",1,14740.100000,"no","vol_churn"
257,17.345300,0.000000,95.973300,0,"acct","no","no",93,"female","married",1,20013.200000,"yes","customer"
258,10.885200,0.000000,26.753800,0,"cheq","yes","yes",58,"male","married",0,88811.000000,"no","customer"
259,11.355400,0.000000,13.460000,0,"acct","yes","yes",43,"female","single",2,77293.000000,"no","vol_churn"
260,21.473800,0.000000,7.811960,0,"giro","no","no",23,"female","married",2,70032.200000,"no","customer"
263,12.506200,0.000000,68.023100,0,"acct","yes","yes",84,"male","married",0,88164.000000,"no","customer"
268,0.000000,0.000000,0.719743,0,"acct","no","yes",94,"female","married",1,35940.600000,"no","invol_chn"
280,0.000000,0.000000,2.639570,0,"giro","no","yes",93,"female","married",1,50290.700000,"no","invol_chn"
282,12.633600,0.000000,37.344600,0,"acct","no","yes",81,"male","single",0,44073.500000,"no","customer"
285,3.257600,0.000000,10.074100,0,"acct","yes","yes",72,"male","single",1,95182.100000,"no","customer"
286,25.226400,0.000000,45.862200,0,"acct","yes","no",70,"male","married",2,52921.000000,"no","customer"
287,16.782400,3.516740,12.940000,0,"acct","yes","yes",54,"female","married",1,27376.000000,"no","vol_churn"
289,28.242400,0.000000,139.125000,0,"acct","no","yes",91,"female","single",0,48262.400000,"no","vol_churn"
295,20.928000,0.000000,30.527800,0,"acct","no","yes",50,"female","married",2,59078.000000,"yes","customer"
302,13.449500,3.769520,15.896000,0,"acct","yes","no",67,"female","single",0,79727.000000,"no","vol_churn"
307,29.067100,0.000000,23.001700,0,"acct","no","yes",32,"female","single",2,5108.570000,"no","customer"
309,23.111000,0.000000,87.005800,0,"cheq","yes","yes",34,"female","married",2,94024.100000,"no","customer"
310,18.740600,0.000000,113.109000,0,"acct","no","yes",62,"male","single",1,11359.600000,"no","customer"
311,7.058530,0.000000,20.352000,0,"cheq","no","yes",49,"male","single",0,60282.800000,"no","customer"
315,11.974200,0.000000,30.629100,0,"giro","no","no",61,"male","married",0,95132.700000,"no","customer"
316,27.960300,0.000000,87.155500,0,"acct","no","no",39,"female","married",1,85980.900000,"no","customer"
317,23.821400,0.000000,24.716500,0,"cheq","no","no",83,"female","married",0,67042.000000,"no","customer"
318,0.000000,0.000000,2.348250,0,"acct","yes","no",28,"male","married",0,99563.100000,"no","invol_chn"
321,6.204470,0.000000,41.749400,0,"giro","yes","yes",52,"female","married",1,24943.000000,"yes","vol_churn"
326,15.327900,0.000000,5.117910,0,"cheq","no","yes",26,"male","single",2,8172.800000,"no","customer"
330,14.990000,0.000000,24.057200,0,"acct","yes","yes",55,"female","married",0,79771.300000,"yes","vol_churn"
332,20.140600,0.000000,28.691900,0,"giro","yes","yes",58,"female","married",0,91446.400000,"yes","customer"
334,5.663160,0.000000,10.197700,0,"giro","no","yes",36,"female","married",2,96283.600000,"no","customer"
335,27.369200,0.204806,48.899700,0,"cheq","yes","no",19,"female","single",1,24896.100000,"no","vol_churn"
336,18.611400,0.000000,33.542800,0,"acct","no","yes",91,"male","married",1,16785.900000,"no","customer"
340,0.000000,0.000000,0.984838,0,"cheq","yes","yes",68,"male","married",0,10421.700000,"no","customer"
348,24.892400,0.000000,65.567100,0,"acct","yes","yes",42,"female","married",0,18199.700000,"no","vol_churn"
350,0.000000,0.000000,4.389610,0,"cheq","yes","yes",90,"male","married",1,5257.650000,"no","invol_chn"
352,27.112600,0.000000,5.996960,0,"cheq","no","no",47,"female","married",2,56816.400000,"no","vol_churn"
356,3.099690,0.000000,6.432710,0,"acct","no","yes",65,"male","married",0,30057.400000,"yes","customer"
357,0.000000,0.000000,1.923330,0,"cheq","no","yes",26,"male","married",2,52266.300000,"no","invol_chn"
363,8.354770,0.000000,90.650800,0,"giro","no","no",59,"female","married",1,50290.700000,"no","vol_churn"
369,21.083700,9.423860,6.384900,0,"cheq","no","no",55,"male","single",2,50050.500000,"no","vol_churn"
379,18.906200,0.000000,23.286300,0,"acct","yes","yes",39,"female","single",1,46638.500000,"no","customer"
386,0.000000,0.000000,0.817267,0,"acct","yes","no",86,"male","married",1,87073.100000,"no","invol_chn"
387,27.772800,0.000000,91.094700,0,"acct","yes","no",94,"female","single",2,42983.300000,"no","customer"
388,24.034800,0.000000,48.055800,0,"acct","yes","no",84,"female","single",2,32964.200000,"no","customer"
390,0.000000,0.000000,3.537830,0,"acct","yes","no",81,"male","single",2,3714.960000,"no","invol_chn"
393,11.027800,0.000000,87.333400,0,"acct","no","no",62,"female","married",1,63314.600000,"no","vol_churn"
394,7.515580,7.352410,25.211100,0,"cheq","no","yes",22,"female","married",0,42877.200000,"no","vol_churn"
396,4.505720,0.000000,16.355400,0,"acct","no","yes",83,"female","single",1,78854.900000,"no","vol_churn"
398,1.771080,0.000000,98.706700,1,"acct","yes","yes",29,"male","single",0,49127.200000,"no","customer"
400,15.918100,0.000000,6.322120,0,"giro","no","no",44,"male","married",2,57430.500000,"no","customer"
401,1.807520,0.000000,38.347300,0,"acct","no","no",58,"male","single",0,56286.800000,"no","customer"
402,26.780100,0.000000,40.467200,0,"acct","no","yes",63,"female","single",1,83977.600000,"no","vol_churn"
407,20.323000,0.000000,90.702200,0,"cheq","no","yes",22,"female","single",2,80571.600000,"yes","customer"
409,0.000000,0.000000,3.474700,0,"acct","no","yes",94,"female","married",2,78994.100000,"no","invol_chn"
412,1.559520,9.029660,15.177600,1,"acct","no","yes",53,"male","married",1,18672.000000,"yes","vol_churn"
413,25.420800,0.000000,56.086100,0,"cheq","no","no",34,"female","single",0,91147.500000,"no","customer"
415,23.086000,0.000000,38.286700,0,"acct","no","yes",40,"female","married",1,21126.700000,"no","vol_churn"
424,11.685200,0.215853,43.557000,0,"cheq","yes","yes",29,"female","single",0,73032.900000,"no","customer"
427,13.200600,0.000000,35.129900,0,"acct","yes","yes",50,"male","single",2,48882.600000,"no","customer"
430,12.438000,0.000000,16.616500,0,"giro","no","yes",18,"female","married",1,57549.500000,"no","customer"
431,19.285500,0.000000,10.778200,0,"acct","no","no",57,"female","married",0,81576.200000,"no","vol_churn"
433,24.287400,0.000000,13.727000,0,"giro","no","yes",62,"male","single",2,49059.400000,"no","customer"
442,26.280700,0.000000,71.925300,0,"acct","yes","no",55,"female","single",0,95489.400000,"yes","vol_churn"
448,12.869100,0.000000,92.853800,1,"acct","yes","yes",29,"male","single",2,35235.900000,"no","vol_churn"
454,11.451100,0.000000,42.864200,0,"giro","yes","yes",69,"male","married",2,30901.300000,"no","customer"
458,0.086201,0.000000,7.436670,0,"giro","yes","no",95,"male","married",2,92855.300000,"no","customer"
463,0.000000,0.000000,3.622810,0,"giro","no","yes",37,"female","married",1,25541.800000,"no","invol_chn"
469,26.054600,0.000000,59.614500,0,"acct","no","yes",75,"female","single",1,50290.700000,"no","vol_churn"
471,12.499000,0.000000,74.929200,0,"acct","no","yes",55,"female","married",2,7394.150000,"no","customer"
474,28.747000,0.000000,18.656900,0,"acct","no","yes",67,"male","married",2,37168.900000,"no","customer"
481,3.604720,0.000000,11.148600,0,"cheq","no","yes",59,"male","married",0,77177.100000,"no","customer"
484,0.000000,0.000000,3.076550,0,"acct","yes","yes",77,"female","single",2,79972.600000,"yes","invol_chn"
498,26.302600,0.000000,7.621860,0,"acct","yes","yes",89,"male","single",2,30059.600000,"no","customer"
499,0.000000,0.000000,1.038820,0,"giro","yes","yes",82,"female","single",1,95877.700000,"no","invol_chn"
507,6.733280,0.000000,36.363400,0,"acct","no","yes",72,"male","married",0,96188.200000,"no","customer"
509,18.233100,0.000000,23.515000,0,"giro","no","no",59,"male","married",2,35119.100000,"no","customer"
518,11.193000,0.000000,75.596500,0,"acct","yes","yes",67,"male","single",1,36415.300000,"yes","customer"
521,2.684410,0.000000,17.128100,0,"giro","yes","yes",58,"female","married",1,1414.580000,"no","customer"
524,15.330600,0.798082,39.695000,0,"cheq","no","yes",18,"female","married",1,9929.400000,"yes","customer"
527,10.799800,0.000000,42.794100,0,"acct","no","yes",87,"male","single",1,22718.600000,"no","customer"
532,0.000000,0.000000,2.641450,1,"acct","no","yes",82,"male","married",2,30271.400000,"no","invol_chn"
541,26.614500,0.000000,39.211700,1,"cheq","yes","yes",49,"male","married",1,62381.400000,"no","customer"
543,16.854700,0.000000,134.435000,0,"cheq","no","yes",82,"male","single",2,2271.110000,"no","customer"
545,13.620500,0.000000,188.555000,0,"acct","no","yes",91,"female","married",1,82051.900000,"no","vol_churn"
546,7.681730,0.000000,22.608500,0,"acct","yes","yes",57,"male","married",1,57272.700000,"no","customer"
549,0.000000,0.000000,4.742370,0,"cheq","yes","yes",81,"male","single",2,15669.300000,"yes","invol_chn"
550,16.157100,0.000000,88.102600,0,"acct","yes","yes",31,"female","single",2,85401.700000,"yes","customer"
558,6.225390,0.000000,16.034400,2,"acct","no","no",58,"male","married",1,99619.900000,"yes","customer"
564,2.262860,0.000000,49.944800,0,"giro","yes","no",23,"male","married",2,55371.800000,"no","customer"
566,24.181000,0.000000,33.466900,0,"acct","no","yes",48,"female","married",0,24737.800000,"no","customer"
567,15.630000,4.080900,59.144300,0,"acct","no","no",80,"male","married",0,50290.700000,"no","customer"
568,0.000000,0.000000,0.932339,0,"acct","yes","yes",41,"male","married",0,2645.100000,"yes","invol_chn"
569,6.634020,0.000000,18.257200,0,"acct","yes","yes",39,"female","single",2,83996.900000,"no","customer"
572,15.334900,0.000000,61.856800,0,"acct","yes","yes",21,"female","married",1,73138.800000,"yes","customer"
577,5.257410,0.000000,32.046700,0,"acct","no","yes",19,"male","married",0,58979.300000,"yes","customer"
578,6.761490,0.000000,25.009000,0,"cheq","yes","yes",88,"male","single",1,49176.200000,"no","customer"
579,0.000000,0.000000,4.329090,1,"cheq","no","no",28,"female","married",0,48631.300000,"no","invol_chn"
586,0.000000,0.000000,4.092090,1,"cheq","no","yes",88,"female","married",1,36970.200000,"no","invol_chn"
589,4.641070,1.765430,68.626100,0,"acct","yes","yes",77,"female","married",0,39516.300000,"no","vol_churn"
591,28.921100,0.000000,28.712700,0,"giro","no","yes",76,"male","married",2,24855.700000,"yes","customer"
594,26.216100,0.000000,19.723800,0,"acct","no","no",29,"male","married",0,97996.900000,"no","customer"
598,22.852200,0.000000,24.667800,0,"cheq","yes","no",48,"male","single",2,87381.800000,"no","customer"
603,28.055600,0.000000,61.993200,2,"acct","no","yes",38,"female","married",2,81309.500000,"yes","customer"
604,25.442100,0.000000,241.049000,0,"acct","no","no",34,"male","married",0,73834.900000,"yes","customer"
611,0.000000,0.000000,1.185500,0,"acct","yes","no",48,"female","single",2,60908.100000,"no","invol_chn"
613,0.000000,0.000000,4.297460,0,"acct","no","yes",87,"female","single",0,21744.900000,"yes","invol_chn"
619,6.549510,0.000000,130.343000,0,"acct","no","yes",79,"female","married",0,28021.400000,"yes","customer"
621,14.400000,0.000000,20.970000,0,"acct","no","yes",49,"female","married",2,48334.100000,"no","vol_churn"
623,12.948800,0.000000,17.625100,0,"giro","yes","yes",93,"male","married",0,60325.900000,"yes","customer"
625,13.724300,0.000000,13.351200,0,"giro","no","no",72,"male","single",0,21079.200000,"yes","customer"
627,18.129300,0.000000,83.884000,0,"giro","yes","no",85,"male","single",1,75991.200000,"no","customer"
628,0.000000,0.000000,2.015370,0,"acct","yes","no",70,"female","single",1,64815.500000,"no","invol_chn"
630,26.467900,0.000000,13.946100,0,"acct","no","yes",34,"female","married",2,24325.800000,"yes","customer"
647,1.321520,0.000000,147.871000,0,"acct","no","yes",54,"female","single",1,61231.700000,"no","vol_churn"
648,27.229100,8.073560,6.676570,0,"giro","yes","yes",94,"female","married",2,17964.000000,"no","vol_churn"
649,0.000000,0.000000,0.049147,0,"acct","no","yes",75,"female","married",1,59251.000000,"yes","invol_chn"
654,19.481400,6.178420,93.303500,1,"giro","no","no",82,"female","single",1,80066.300000,"no","vol_churn"
655,16.324800,0.000000,26.288200,0,"cheq","no","yes",37,"male","married",0,43235.500000,"no","customer"
656,0.000000,0.000000,4.148040,0,"cheq","yes","no",40,"female","single",0,56016.000000,"no","invol_chn"
657,18.565800,0.000000,42.903900,1,"acct","no","yes",65,"male","married",0,50290.700000,"no","customer"
659,14.766400,0.000000,101.051000,2,"acct","yes","yes",25,"male","single",2,51268.500000,"yes","customer"
661,17.795400,0.000000,12.564900,1,"acct","yes","yes",58,"female","married",2,29597.100000,"no","customer"
665,20.940800,0.000000,13.913500,0,"acct","yes","yes",73,"male","single",2,73240.300000,"no","customer"
668,6.189020,9.159260,105.295000,0,"giro","no","yes",40,"female","married",0,15980.100000,"yes","vol_churn"
669,28.643500,0.000000,9.821930,0,"acct","yes","yes",59,"female","single",1,61205.600000,"no","vol_churn"
670,22.528200,0.000000,38.359400,0,"acct","yes","yes",60,"female","married",2,21380.900000,"no","vol_churn"
672,14.134800,0.000000,7.713160,0,"giro","no","yes",67,"male","single",0,88874.000000,"yes","customer"
674,16.220100,0.000000,53.959900,0,"acct","yes","yes",43,"male","married",1,35827.500000,"yes","customer"
683,0.000000,0.000000,4.873910,0,"cheq","yes","yes",19,"male","married",0,76071.200000,"no","invol_chn"
684,0.000000,0.000000,1.835500,0,"acct","no","no",43,"female","married",0,85205.100000,"yes","vol_churn"
692,15.009400,0.000000,45.925700,0,"giro","no","yes",95,"male","married",2,21213.000000,"no","customer"
703,11.243600,6.818370,115.445000,0,"acct","yes","no",52,"male","single",1,37809.700000,"yes","vol_churn"
704,22.532300,0.000000,11.530700,1,"acct","yes","yes",93,"male","single",1,68089.100000,"no","customer"
709,0.000000,0.000000,0.842592,0,"cheq","yes","no",22,"male","single",1,15434.300000,"yes","vol_churn"
710,28.803400,0.000000,142.430000,0,"acct","yes","no",73,"female","single",0,92405.900000,"no","customer"
715,5.200370,0.000000,51.568200,0,"acct","yes","yes",90,"male","married",0,42248.700000,"no","customer"
721,0.000000,0.000000,4.831510,1,"acct","yes","yes",59,"male","single",0,60111.800000,"no","invol_chn"
722,20.803400,0.000000,36.816400,0,"acct","no","yes",55,"female","married",0,28528.000000,"yes","customer"
727,24.422500,0.000000,104.948000,0,"acct","yes","yes",83,"male","married",2,85753.400000,"no","customer"
729,20.606100,0.000000,18.221300,0,"cheq","no","no",37,"male","single",1,28906.800000,"no","customer"
739,0.000000,0.000000,0.084098,0,"acct","yes","no",51,"female","married",1,62990.700000,"no","invol_chn"
747,7.345050,0.000000,12.106400,0,"cheq","no","no",78,"male","married",0,54864.600000,"no","customer"
763,22.437900,0.000000,107.181000,0,"cheq","no","yes",25,"male","married",2,40774.200000,"no","customer"
765,26.871000,0.000000,6.606850,0,"cheq","yes","yes",81,"female","married",1,50613.100000,"yes","vol_churn"
774,0.000000,0.000000,0.085681,0,"cheq","yes","no",79,"female","married",1,18442.800000,"no","invol_chn"
779,7.431170,0.000000,89.514300,0,"cheq","no","yes",74,"male","married",1,60015.100000,"no","customer"
781,27.564500,0.000000,212.356000,0,"giro","no","yes",65,"male","single",1,11520.300000,"no","customer"
792,11.031100,4.147990,92.134800,0,"acct","no","yes",57,"male","single",2,26349.100000,"no","customer"
795,29.305600,0.011654,54.823000,0,"acct","yes","yes",65,"male","married",2,54370.800000,"no","customer"
798,16.473700,0.000000,35.803200,1,"acct","yes","yes",55,"male","married",2,50290.700000,"no","customer"
800,7.813930,0.000000,33.168800,0,"giro","yes","yes",89,"female","single",2,79133.000000,"yes","vol_churn"
803,14.206000,0.000000,25.159000,0,"acct","no","no",61,"female","single",2,54643.300000,"yes","customer"
804,22.086500,6.421610,7.526310,0,"acct","no","no",55,"female","single",0,91646.600000,"yes","vol_churn"
807,18.074400,0.000000,23.059300,0,"acct","yes","yes",42,"female","married",1,79763.600000,"yes","customer"
812,13.963800,0.000000,7.733670,0,"cheq","no","no",43,"male","married",1,15425.300000,"yes","customer"
813,7.041040,3.506590,99.394400,1,"acct","yes","yes",62,"male","married",1,65619.800000,"yes","vol_churn"
815,24.140200,0.000000,40.521800,0,"giro","no","yes",38,"male","single",2,58087.500000,"no","customer"
816,16.640700,0.000000,58.530100,0,"cheq","no","no",30,"female","married",2,36740.700000,"no","customer"
818,0.000000,0.000000,0.493999,0,"cheq","no","no",57,"male","single",1,78255.300000,"no","invol_chn"
827,28.748300,6.325840,64.696100,0,"acct","no","yes",96,"female","married",2,95394.000000,"no","vol_churn"
834,1.676880,0.000000,89.080100,0,"acct","yes","yes",74,"female","single",2,25754.900000,"no","customer"
835,14.825700,7.795010,287.295000,0,"giro","no","yes",40,"male","married",0,55714.000000,"no","customer"
836,0.000000,0.000000,1.314330,0,"giro","no","yes",64,"female","married",1,1433.720000,"no","invol_chn"
844,8.289610,0.000000,8.243140,0,"cheq","yes","no",65,"female","single",0,36159.000000,"no","customer"
848,22.093200,0.000000,15.166100,0,"cheq","yes","no",56,"male","married",1,24626.000000,"no","customer"
849,25.653100,0.813493,81.737500,1,"cheq","yes","no",69,"female","married",0,49188.900000,"yes","vol_churn"
856,22.344700,0.000000,38.720800,0,"giro","no","no",57,"female","married",0,83165.700000,"no","vol_churn"
858,13.640300,0.000000,16.206900,0,"giro","no","no",70,"female","single",2,15080.400000,"no","customer"
860,28.808600,0.000000,13.636400,0,"giro","no","yes",22,"female","married",2,59699.500000,"no","customer"
861,10.440400,0.000000,127.425000,0,"giro","no","yes",39,"male","married",1,88474.700000,"yes","customer"
863,16.345200,0.000000,15.245500,0,"acct","yes","yes",58,"male","married",0,64789.800000,"no","customer"
867,5.490320,0.000000,65.426200,1,"giro","no","yes",19,"female","married",1,99261.800000,"yes","customer"
868,5.809850,0.000000,11.482200,0,"acct","yes","yes",83,"female","married",0,89344.400000,"no","customer"
872,9.441330,0.000000,80.645100,0,"cheq","no","yes",82,"female","single",1,79009.700000,"no","customer"
873,0.000000,0.000000,0.911027,0,"acct","no","yes",68,"male","married",2,17060.300000,"yes","invol_chn"
875,1.111460,0.000000,22.743300,0,"acct","yes","yes",96,"male","single",0,83986.800000,"yes","customer"
877,16.373800,0.049815,49.190100,0,"acct","no","yes",48,"male","single",1,98360.600000,"yes","customer"
879,3.859020,0.000000,37.210900,0,"giro","no","yes",74,"female","single",1,42002.000000,"no","vol_churn"
880,16.609100,0.000000,50.694300,0,"acct","no","yes",55,"male","married",1,41334.100000,"no","customer"
883,13.796800,0.000000,337.564000,0,"cheq","yes","yes",69,"female","married",2,28848.800000,"no","customer"
887,9.518820,0.000000,66.098200,0,"acct","no","yes",53,"male","married",2,17246.000000,"yes","customer"
888,3.224730,0.000000,35.931200,0,"acct","yes","yes",71,"female","married",2,80667.400000,"no","vol_churn"
891,28.192200,0.000000,93.634700,0,"cheq","yes","yes",19,"female","single",2,56438.900000,"no","customer"
894,17.129700,0.000000,14.068900,0,"cheq","yes","no",37,"male","married",0,52355.100000,"yes","customer"
897,24.091800,0.000000,32.928800,0,"acct","yes","no",75,"male","married",0,99454.200000,"no","customer"
910,1.014930,0.000000,57.989900,0,"cheq","yes","yes",37,"female","married",2,80869.800000,"no","customer"
914,18.450800,0.000000,65.571600,0,"cheq","yes","yes",38,"female","married",1,50290.700000,"no","customer"
918,25.986900,0.000000,26.699200,0,"cheq","yes","yes",94,"male","single",0,44927.000000,"no","customer"
919,0.000000,0.000000,1.855180,1,"cheq","no","yes",63,"male","single",0,37120.000000,"yes","invol_chn"
920,20.585100,0.000000,50.330200,0,"acct","no","yes",86,"female","married",0,2530.760000,"yes","customer"
921,14.754500,0.000000,71.142000,0,"acct","no","no",54,"female","married",2,19758.300000,"no","customer"
926,9.786280,8.797960,72.624400,0,"acct","no","yes",69,"female","married",0,10250.100000,"no","vol_churn"
931,4.832400,0.000000,56.651600,0,"acct","no","yes",28,"female","married",0,38450.200000,"yes","customer"
934,5.380280,8.832840,33.588100,2,"giro","no","yes",70,"male","single",2,66649.200000,"no","customer"
942,0.000000,0.000000,1.747120,0,"acct","no","no",48,"female","married",0,83157.500000,"no","invol_chn"
944,11.407900,0.000000,128.122000,0,"acct","yes","no",93,"female","single",1,21395.200000,"yes","vol_churn"
947,29.231200,0.000000,450.624000,1,"cheq","yes","yes",78,"female","single",2,72800.900000,"no","vol_churn"
957,0.000000,0.000000,0.738430,0,"giro","yes","yes",68,"male","married",0,41486.400000,"yes","customer"
958,12.213700,0.000000,52.965600,0,"giro","yes","no",31,"male","single",1,37832.600000,"yes","customer"
961,0.000000,0.000000,2.552940,0,"acct","no","yes",54,"male","single",2,63959.200000,"no","invol_chn"
963,17.658400,0.000000,71.074400,0,"acct","yes","yes",53,"female","single",0,95584.500000,"no","customer"
964,11.857100,0.000000,135.648000,0,"giro","no","yes",20,"male","married",1,59632.900000,"yes","customer"
965,0.653470,6.870300,5.491450,0,"giro","yes","no",97,"female","single",1,98860.100000,"no","vol_churn"
967,0.000000,0.000000,3.734690,1,"acct","no","yes",46,"male","married",2,32811.600000,"no","invol_chn"
